SYMBOL,NAME,EXCHANGE
"NORTHARC","Northern Arc Capital Limited","NSE"
"WELCORP","Welspun Corp Limited","NSE"
"WABAG","VA Tech Wabag Limited","NSE"
"J&KBANK","The Jammu & Kashmir Bank Limited","NSE"
"IFCI","IFCI Limited","NSE"
"BBOX","Black Box Limited","NSE"
"REDINGTON","Redington Limited","NSE"
"IBULLSLTD","Indiabulls Limited","NSE"
"TARIL","Transformers And Rectifiers (India) Limited","NSE"
"AEGISLOG","Aegis Logistics Limited","NSE"
"MEESHO","Meesho Limited","NSE"
"KERNEX","Kernex Microsystems (India) Limited","NSE"
"CONCORD","Concord Control Systems Limited","NSE"
"HBLENGINE","HBL Engineering Limited","NSE"
"OFSS","Oracle Financial Services Software Limited","NSE"
"DIXON","Dixon Technologies (India) Limited","NSE"
"VEDANT","Vedant Asset Limited","NSE"
"VEDPOWER","Vedanta Power Limited","NSE"
"VAML","Vedanta Aluminium Metal Limited","NSE"
"VISL","Vedanta Iron and Steel Limited","NSE"
"VOGL","Vedanta Oil and Gas Limited","NSE"
"AMAGI","Amagi Media Labs Limited","NSE"
"PINELABS","Pine Labs Limited","NSE"
"FLUOROCHEM","Gujarat Fluorochemicals Limited","NSE"
"E2E","E2E Networks Limited","NSE"
"TDPOWERSYS","TD Power Systems Limited","NSE"
"VSSL","Vardhman Special Steels Limited","NSE"
"ITC","ITC Limited","NSE"
"TBZ","Tribhovandas Bhimji Zaveri Limited","NSE"
