SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"ADANIENT","3,051.00","3,067.50","3,002.40","3,049.10","3,009.10","-","-40","-1.31","866401","262.03","3,245.00","1,753.00","-0.89","27.51"
"ABB","7,350.50","7,485.00","7,201.50","7,291.50","7,244.00","-","-47.5","-0.65","348950","258.07","7,924.50","4,637.50","3.03","31.47"
"BAJAJ-AUTO","11,475.00","11,590.00","11,329.50","11,432.00","11,519.00","-","87","0.76","214380","246.94","11,590.00","7,858.50","18.56","43.84"
"COALINDIA","413.00","415.10","410.15","417.20","414.40","-","2.7","0.66","5938134","245.48","491.25","368.65","-5.61","10.11"
"ASIANPAINT","2,773.90","2,774.90","2,732.40","2,746.20","2,738.00","-","-8.2","-0.3","891738","245.21","2,985.70","2,115.00","3.88","14.27"
"ONGC","241.58","242.96","238.17","241.59","242.30","-","0.71","0.29","10070729","242.87","307.50","227.65","3.15","0.54"
"INDIGO","5,260.00","5,282.00","5,137.50","5,230.50","5,177.00","-","-53.5","-1.02","462900","240.84","6,232.50","3,895.20","-3.57","-12.41"
"APOLLOHOSP","9,025.00","9,036.50","8,931.00","8,988.00","8,941.00","-","-47","-0.52","268253","240.54","9,036.50","6,696.50","2.98","19.25"
"BRITANNIA","5,445.00","5,460.00","5,364.00","5,524.50","5,405.00","-","-29","-0.53","428290","231.46","6,336.00","5,035.00","5.02","-6.34"
"MAXHEALTH","1,126.00","1,132.00","1,091.20","1,124.80","1,101.40","-","-23.4","-2.08","2055225","227.48","1,301.70","903.00","-2.47","-11.61"
"HINDZINC","536.05","543.90","535.35","535.90","539.25","-","3.35","0.63","4198309","226.49","733.00","413.50","1.14","27.17"
"POWERGRID","286.30","287.40","283.00","285.70","284.20","-","-1.5","-0.53","7804310","221.75","324.95","250.00","-0.73","-2.34"
"DMART","3,900.10","3,946.50","3,889.70","3,874.00","3,921.00","-","47","1.21","551952","216.39","4,949.50","3,529.00","-10.49","-8.12"
"ADANIGREEN","1,368.80","1,397.00","1,353.00","1,358.70","1,378.00","-","19.3","1.42","1571946","215.99","1,631.50","765.00","-7.65","39.94"
"HDFCAMC","2,550.10","2,630.00","2,550.10","2,546.30","2,618.00","-","71.7","2.82","825760","214.91","2,967.25","2,205.60","-1.33","-7.33"
"SIEMENS","3,662.10","3,808.40","3,662.10","3,658.80","3,742.00","-","83.2","2.27","565322","213.13","3,937.30","2,826.00","3.95","23.36"
"INDHOTEL","751.20","757.40","736.85","749.25","739.80","-","-9.45","-1.26","2772348","206.49","811.95","565.00","3.62","-0.13"
